origin,dest,count
636,2454,1
636,2518,2
636,2619,1
636,2624,1
636,24753,1
636,38227,1
637,2421,2
638,2544,1
639,2530,4
639,2536,1
639,2544,2
641,15511,1
644,2453,1
646,2431,4
646,2453,5
646,2506,1
647,2634,1
648,2426,1
649,660,1
650,660,3
650,2351,2
650,12725,1
650,12727,1
650,23155,1
650,30495,1
650,31904,1
650,40921,1
650,40940,1
650,47895,1
650,47897,2
650,81660,17
650,87462,1
651,42805,1
652,6484,1
654,47892,1
655,47892,1
656,81660,1
658,87800,2
659,5348,9
659,5351,1
659,57198,1
659,78943,1
660,40938,1
666,35635,1
669,35701,8
670,35635,1
671,35616,3
671,35635,1
671,35640,1
671,35718,2
671,35729,1
671,35787,1
671,41964,5
673,77816,3
675,15245,1
675,15251,3
675,15260,1
675,15269,1
676,35635,1
676,35755,3
677,35635,1
678,15269,4
678,35757,3
679,35635,2
680,35635,1
681,23321,2
681,74508,1
683,35750,1
684,35759,5
685,15243,1
688,35635,1
690,35635,1
691,35759,6
693,35759,2
693,35766,2
694,35764,1
694,77816,2
695,85927,2
696,15409,1
696,15462,1
696,30541,2
696,30567,1
696,36425,1
697,54523,3
698,66305,2
699,66305,2
701,54530,1
703,361,2
703,15425,1
703,30074,9
703,35452,1
703,54522,3
703,54528,9
703,54529,6
706,35446,1
707,54531,3
708,36425,1
708,54528,3
708,54532,2
710,15422,1
710,30541,3
713,15409,1
716,54521,2
716,54527,2
717,15425,1
718,54528,8
719,15462,1
720,15444,7
721,15464,1
721,15493,1
721,30541,3
721,30567,5
721,54528,2
722,54533,1
724,84243,1
725,84149,2
726,28471,8
728,84297,2
729,14459,1
730,6256,1
730,50273,1
730,83622,1
730,84199,1
730,84202,2
730,84243,1
730,84252,1
730,84287,1
730,84364,7
733,68609,1
734,83729,1
736,28733,1
738,84154,1
738,84217,1
738,84381,2
739,28733,2
739,84358,1
739,84378,1
740,6255,1
740,6256,8
740,8710,1
740,84091,1
740,84168,1
740,84262,9
740,84297,2
740,84371,2
741,83840,1
741,84297,2
741,84400,1
743,74621,1
743,84364,1
744,6256,1
745,6256,2
745,84279,1
745,84297,1
747,83888,1
747,84297,1
747,84391,10
748,28733,1
748,84202,1
748,84243,2
748,84279,2
750,83721,1
751,6256,1
751,84297,1
752,83979,1
752,84147,1
752,84279,1
752,84297,1
754,83798,1
756,83967,1
757,11390,4
757,28733,1
757,68594,1
757,83358,2
757,83959,2
757,83965,1
757,84202,1
757,84338,2
758,6249,1
758,6256,6
758,28730,3
758,34044,8
758,83593,1
758,84090,1
758,84202,1
758,84241,2
758,84243,1
758,84279,9
758,84297,14
758,84326,2
758,84373,1
758,84378,2
758,84389,1
758,84393,1
758,84404,1
759,84362,1
760,6249,5
760,21118,1
761,28733,1
761,74626,1
761,82418,10
763,14444,1
764,83966,1
764,84297,2
766,83753,1
766,83763,2
766,83790,4
766,83865,1
766,83967,1
767,83592,1
767,84279,1
768,21118,3
769,6256,1
769,83790,3
769,83899,1
769,84091,1
770,83824,1
771,77995,1
773,83383,1
775,28733,6
775,84297,7
776,84110,1
777,56143,2
779,732,1
779,6266,1
779,28472,4
779,34034,3
779,83678,1
781,83959,1
781,84140,11
782,84279,1
784,84364,1
787,68598,4
789,6266,1
789,34034,2
790,6256,1
790,84140,4
791,8650,1
791,8828,1
791,83981,2
791,84078,3
791,84258,1
791,84275,1
791,84292,1
791,84389,3
792,8702,1
793,84297,8
796,2758,9
797,2757,5
797,2758,2
799,77750,10
800,3236,4
802,2585,3
802,46193,2
803,2434,1
803,2457,3
803,2579,12
803,2629,1
803,56574,1
803,70801,2
803,70803,1
804,39302,2
807,34335,1
809,64261,1
810,78768,6
811,39358,1
812,39302,1
813,3391,2
818,66446,1
822,51805,1
823,66442,2
824,14475,1
825,19082,2
828,31329,1
828,42263,1
829,30766,1
830,30766,1
831,30766,1
833,24624,1
835,24624,1
835,91656,1
839,4190,3
839,33587,1
839,33604,1
839,42628,1
839,42642,1
839,59863,1
839,59894,1
839,79875,1
839,82583,1
839,82609,1
839,82624,1
839,88146,2
839,88202,2
840,4189,1
840,42602,1
840,82644,1
840,88145,2
840,92171,1
841,4189,1
841,33588,1
841,59873,1
841,82688,1
844,4227,1
844,9935,4
844,21933,4
844,58698,1
844,59884,1
844,63393,1
844,76268,1
845,79787,1
846,79794,1
847,22110,2
848,25170,2
850,20733,3
852,25193,1
854,18567,1
855,91495,1
857,18384,2
857,48214,2
862,56277,1
863,56277,1
866,42412,1
867,42408,1
867,57592,1
868,20751,6
869,67419,2
870,56277,1
871,56277,2
872,50543,3
872,50917,1
872,67419,5
872,67444,3
872,67449,2
875,56277,9
876,67419,1
876,68133,1
877,50543,1
877,67419,1
877,67444,1
878,20720,4
879,76026,1
880,67419,2
881,20750,2
881,91611,1
882,30637,2
882,89411,1
884,67419,1
884,90782,1
885,33119,1
887,22107,6
888,51561,2
889,30842,1
889,88596,1
890,67419,5
892,20734,1
894,12488,2
894,54181,1
894,88100,1
894,90849,2
895,43763,5
896,43763,1
899,21967,1
899,28125,1
899,58765,1
900,53760,1
900,60071,1
900,60154,1
901,20733,5
901,20734,2
902,20733,1
904,53760,1
905,45322,1
906,65914,1
906,68681,1
907,91483,1
908,91472,2
909,91493,2
910,91483,1
911,58736,1
911,91484,1
912,17222,2
912,40191,1
913,60932,8
914,3325,1
914,43578,1
916,50778,2
916,57531,1
916,82551,1
918,21963,1
918,22165,1
918,75956,1
918,75976,6
918,76005,5
919,31018,5
920,31020,4
921,81456,1
921,81555,1
922,69610,29
923,84872,1
925,10049,8
926,73126,3
927,73295,1
928,54406,1
929,45550,9
930,18510,1
930,44280,1
931,66054,1
932,18510,1
932,46981,1
933,18510,1
935,49207,1
936,43310,22
936,43313,1
938,68194,1
940,44071,1
942,46804,1
943,46793,11
944,46711,1
945,34528,3
946,46795,1
947,46799,1
948,91396,7
949,45027,9
950,68795,1
951,7412,1
952,7333,4
952,7412,1
952,7678,2
952,24050,1
952,33973,1
952,42934,3
952,64669,1
952,72248,8
953,7495,1
954,7333,2
960,7194,1
963,63150,1
966,11433,22
966,63507,1
968,63507,1
970,22191,1
970,31810,1
971,7429,1
971,22201,3
971,31813,6
972,29880,1
973,31440,2
974,27857,1
975,49440,1
975,62468,1
975,63007,1
976,7209,6
976,7297,1
976,7673,1
976,33941,2
976,90427,1
977,4947,1
977,5952,1
977,7132,1
977,7145,2
977,7209,2
977,7295,1
977,7341,1
977,7426,3
977,11554,1
977,20839,1
977,29665,1
977,33941,4
977,47564,1
977,90427,1
978,7308,2
979,26680,6
979,29463,1
980,7487,1
981,7557,1
981,7635,1
981,20844,1
981,33941,1
981,49440,2
981,63007,1
981,90654,1
984,49440,1
984,90427,1
985,7191,4
985,7680,1
985,28212,3
985,49440,1
985,90427,1
986,22434,2
986,37883,2
987,11545,1
988,5950,1
988,7269,1
988,44622,2
988,82516,1
989,29819,2
989,38469,1
989,72248,1
991,7338,1
992,7191,1
992,7294,3
993,56220,1
994,1176,2
994,1184,3
994,37880,1
994,37883,2
995,7144,1
995,47568,3
995,47570,3
996,11540,7
996,47568,5
996,59408,4
996,74043,8
997,30248,1
997,30249,6
997,82783,6
998,5949,1
998,7675,1
998,7680,1
999,31440,1
1000,7408,1
1001,37880,1
1003,2463,1
1003,2483,6
1003,2559,2
1003,2614,6
1003,2696,1
1003,30654,2
1004,1283,3
1005,3234,13
1006,1284,1
1007,39989,1
1008,70044,2
1009,70044,1
1010,39989,1
1013,70044,1
1014,9964,4
1015,19632,1
1016,77963,1
1017,2509,1
1018,2544,7
1019,2565,4
1020,77963,1
1022,48919,1
1023,48777,2
1025,35166,1
1025,45440,1
1025,48670,1
1025,48988,1
1025,48994,1
1025,49005,3
1027,16482,20
1027,16485,4
1028,16480,18
1028,16481,1
1029,16479,11
1031,10273,3
1034,42573,1
1036,42578,5
1037,15163,7
1038,42578,1
1040,50226,3
1040,78201,2
1040,78208,18
1040,78211,1
1040,78214,38
1041,22459,1
1043,78211,3
1044,78209,1
1045,78211,8
1046,78211,1
1049,78211,2
1050,10987,1
1055,16813,2
1055,16815,1
1058,57910,1
1058,77350,1
1059,57909,1
1060,6202,2
1061,36520,1
1062,77350,1
1067,87744,1
1068,16814,2
1068,16816,2
1069,84652,1
1069,84668,2
1069,84688,1
1070,84662,4
1071,84673,1
1073,84587,1
1076,86631,1
1077,34431,5
1077,55902,1
1078,55877,1
1078,55891,1
1078,57142,7
1079,65047,1
1079,86651,1
1080,34120,1
1083,47828,1
1084,47828,6
1085,47840,9
1086,47834,2
1087,37588,1
1088,37560,1
1090,4638,3
1090,46237,3
1090,48743,6
1090,48864,3
1091,69998,2
1092,27939,1
1092,64644,1
1093,22628,1
1093,22654,1
1093,27993,1
1093,39035,1
1093,46419,1
1093,46433,2
1093,69776,1
1093,69802,1
1095,27943,1
1096,9391,13
1097,58177,1
1098,70098,1
1099,68935,1
1100,1112,1
1100,10019,1
1101,28003,1
1101,69849,1
1102,1119,1
1104,67007,1
1104,92256,21
1106,7817,2
1106,20423,1
1106,22872,2
1106,33426,1
1106,33427,1
1106,39524,2
1106,39646,1
1106,69578,1
1106,69696,1
1106,83269,4
1107,35271,2
1107,38645,3
1107,39908,1
1107,49941,1
1107,81439,1
1107,84880,1
1107,88327,1
1108,58177,1
1108,75595,1
1109,64637,1
1109,70030,3
1109,84958,1
1110,49898,7
1114,64657,1
1115,10099,1
1115,64657,2
1116,1100,1
1117,68796,1
1117,84899,1
1117,84970,1
1117,86208,1
1118,7403,1
1119,1100,1
1119,84970,1
1120,84883,6
1120,84972,1
1121,64287,1
1122,64225,1
1123,38839,7
1123,69989,3
1124,38839,8
1125,74617,1
1126,7468,5
1126,8001,1
1128,7468,1
1129,77709,1
1130,7468,55
1130,7531,13
1130,8001,2
1130,47569,3
1133,7474,1
1134,77709,1
1135,1,2
1136,82537,1
1137,77706,1
1138,11,1
1139,7437,1
1141,70513,4
1141,77696,3
1141,77697,1
1141,77703,1
1142,83034,6
1144,77704,4
1146,77703,1
1146,77710,1
1147,1192,2
1148,70511,2
1150,7513,2
1152,7529,5
1153,7233,1
1153,7287,1
1155,7421,2
1156,70512,6
1156,77707,1
1159,39988,1
1160,22688,1
1161,31588,1
1162,44623,1
1162,91932,1
1163,44623,1
1165,35240,1
1166,47564,1
1167,85793,1
1168,6,1
1169,87555,1
1171,70511,1
1172,7543,7
1173,88977,6
1174,63051,1
1177,994,1
1177,7109,1
1178,1193,1
1179,73172,1
1180,3,1
1180,11,8
1181,6,1
1182,5948,1
1183,994,1
1183,7109,1
1185,5948,1
1186,5948,1
1188,994,2
1188,7109,2
1189,7415,1
1190,7370,1
1191,5948,1
1193,1178,1
1194,19874,1
1194,19886,1
1194,33642,3
1194,37222,22
1194,38135,2
1194,58492,21
1195,3972,2
1196,92048,1
1197,70524,1
1200,3958,1
1201,48743,1
1202,49003,1
1202,49004,1
1203,49003,1
1205,51313,1
1206,48992,6
1207,4619,6
1209,19785,3
1209,46248,4
1209,48868,3
1209,48915,2
1209,48948,2
1209,48962,7
1209,86673,7
1210,48651,8
1211,4619,2
1214,49031,10
1215,20436,1
1216,65615,1
1217,65633,2
1217,65634,7
1217,77622,2
1218,64385,1
1220,87529,4
1221,47307,1
1222,78605,1
1223,21114,1
1223,74349,1
1224,66239,3
1227,14006,1
1227,53713,3
1227,57898,1
1227,57899,1
1227,74448,1
1227,86533,2
1228,34424,2
1229,53703,2
1230,13991,1
1231,57906,1
1233,1572,1
1234,34456,8
1235,43910,1
1236,1571,1
1238,1571,1
1240,6794,1
1241,58508,1
1242,6746,4
1243,53719,2
1244,53718,1
1245,13999,1
1245,34424,6
1245,34431,3
1245,55959,2
1245,55977,3
1245,74313,6
1245,74380,1
1245,88482,1
1248,41416,1
1250,34444,1
1251,68040,1
1255,74347,2
1258,10510,1
1258,74380,1
1259,55738,1
1260,58519,1
1261,1801,1
1261,1900,2
1261,6750,8
1261,55982,7
1262,21097,1
1263,5545,1
1264,1929,3
1267,21097,3
1269,2163,1
1270,78601,7
1271,59017,1
1272,55388,1
1273,55788,5
1273,77952,5
1273,78601,5
1273,78602,3
1273,78603,1
1274,6276,7
1274,6277,3
1275,39992,1
1276,38739,1
1277,38741,1
1278,84881,1
1279,69461,1
1282,7822,1
1282,28005,5
1285,66682,1
1286,35994,1
1286,36181,1
1286,36853,3
1286,36855,1
1288,66649,1
1289,63869,1
1290,2337,1
1290,63869,1
1291,2287,1
1291,35853,4
1291,35916,1
1291,35919,1
1291,36853,2
1291,66656,1
1292,35893,1
1292,36032,1
1293,63850,6
1294,56895,2
1296,36059,1
1298,56895,1
1300,37615,1
1301,37768,16
1301,37769,7
1301,37782,1
1302,37780,8
1303,44423,6
1304,69757,1
1305,37616,1
1309,24309,2
1309,27344,1
1309,41216,1
1309,60244,1
1310,24288,1
1310,24289,1
1310,24290,3
1310,24309,4
1310,27344,2
1310,41216,1
1310,60244,2
1310,60342,3
1310,64892,1
1311,4366,3
1311,24288,1
1311,27306,3
1311,41206,3
1312,79047,5
1313,21434,1
1315,14763,2
1316,9151,3
1316,66801,1
1316,82097,1
1322,20527,1
1323,76691,1
1324,24373,8
1324,24388,3
1324,33401,4
1325,24370,3
1325,85161,3
1326,72996,4
1328,52515,1
1328,73018,2
1329,26752,1
1329,44809,1
1332,47886,1
1333,12147,1
1333,43881,1
1335,73762,1
1337,24131,10
1338,1655,2
1340,26625,1
1342,73761,1
1343,12136,1
1343,12143,1
1344,1796,1
1344,1883,1
1344,1988,4
1344,85336,1
1345,1883,1
1345,85336,3
1346,1594,1
1346,6766,1
1347,68314,4
1347,79321,2
1348,18732,1
1349,85384,4
1350,2109,1
1351,13508,7
1352,6837,1
1353,44238,1
1353,44240,1
1353,87893,1
1355,54572,1
1355,75221,1
1356,10429,1
1356,23128,1
1357,23128,1
1358,1856,6
1359,1982,1
1359,2107,1
1359,2109,7
1359,6829,1
1359,78341,1
1361,41397,1
1362,18672,1
1363,10431,1
1364,5528,2
1364,35179,7
1364,74254,1
1365,43788,1
1366,80213,2
1366,80238,2
1367,82934,1
1370,23427,6
1371,80213,1
1375,71655,1
1379,12089,1
1380,1856,1
1381,12147,1
1381,17827,4
1382,80240,10
1383,7868,2
1385,71671,1
1386,1560,1
1387,1560,1
1388,2109,1
1391,2047,1
1393,53712,1
1394,80232,22
1394,80240,13
1394,80245,1
1397,1560,2
1398,2109,2
1399,1797,3
1400,80298,1
1403,53712,2
1405,39209,2
1406,16736,1
1407,41902,1
1407,74348,11
1408,80308,1
1410,14006,3
1410,17837,8
1410,41434,1
1410,53712,1
1411,80350,1
1413,1239,1
1413,1798,2
1413,1847,6
1413,1875,1
1413,80107,2
1415,18672,2
1416,1641,1
1416,2116,1
1417,15310,1
1418,87873,3
1419,41899,1
1419,55902,1
1420,1684,2
1420,1856,18
1420,1936,2
1420,2072,2
1420,2116,1
1420,5535,14
1420,6759,2
1420,18649,5
1420,21113,1
1420,35587,1
1420,68319,1
1420,71674,2
1420,71675,5
1420,79263,1
1420,87812,4
1422,53714,1
1423,79619,1
1424,18672,1
1424,35180,1
1425,43850,1
1425,47308,1
1426,1946,1
1427,17816,1
1427,35180,2
1428,6756,1
1428,41908,1
1429,6868,1
1430,7867,2
1431,10439,1
1431,13738,3
1431,43840,1
1431,43841,2
1431,43850,4
1432,17828,1
1436,1903,1
1438,39200,1
1438,45942,1
1439,12121,4
1439,25338,3
1439,30689,1
1439,47878,1
1439,47884,1
1440,23441,1
1441,10429,1
1443,80372,1
1445,10429,1
1447,7754,1
1447,53712,3
1447,53713,2
1447,73762,1
1448,87860,4
1450,43812,1
1451,53712,2
1451,53713,1
1452,71602,1
1454,1955,2
1455,10429,1
1458,17867,4
1458,45942,1
1458,47324,1
1461,28807,1
1462,6819,1
1462,18672,2
1462,44245,2
1463,85287,2
1464,54647,2
1465,47878,1
1466,16771,36
1470,21669,1
1470,58139,1
1470,80297,2
1471,53712,4
1471,58139,5
1473,44241,2
1473,86241,2
1474,41879,1
1475,6791,3
1476,41899,1
1476,85287,3
1477,6987,10
1477,17815,3
1477,17826,7
1477,18800,2
1477,18828,8
1477,18862,2
1479,39209,2
1480,1571,4
1482,10434,1
1483,18664,1
1484,50133,1
1485,17826,1
1486,1890,1
1486,2173,1
1487,80283,1
1488,6806,1
1490,1831,1
1491,1782,1
1491,1951,1
1491,2034,1
1491,53656,1
1491,75111,1
1492,2116,1
1494,16070,5
1495,6818,1
1496,6787,9
1496,87652,1
1497,79577,1
1498,23416,1
1498,23440,2
1498,39344,1
1499,50186,1
1500,85274,2
1501,45941,5
1502,28820,1
1508,12131,1
1509,1518,1
1510,11580,1
1511,80254,1
1516,18674,1
1516,53714,1
1516,80307,1
1517,20979,1
1519,26621,1
1519,41419,1
1519,41420,1
1519,41427,2
1520,1386,1
1520,6818,1
1521,43884,2
1521,43885,1
1522,6995,1
1523,45946,1
1524,18818,3
1526,1848,5
1528,1812,8
1528,1814,1
1528,1838,1
1528,1840,2
1528,1841,1
1528,1968,1
1528,1969,1
1528,2146,1
1528,6818,1
1528,41429,1
1529,10434,1
1530,85333,1
1532,58139,5
1533,58139,1
1535,26625,4
1535,30689,1
1536,43887,1
1537,10545,1
1537,41885,1
1537,43884,1
1538,41899,1
1539,68359,1
1544,1418,2
1544,18818,2
1545,68347,4
1546,80361,3
1547,47329,1
1549,37647,1
1551,26625,1
1553,16070,4
1559,78329,2
1562,1418,1
1562,2027,1
1562,68347,1
1564,1594,2
1564,1596,1
1564,47884,1
1564,85341,1
1564,85343,1
1565,86068,1
1566,15324,3
1567,80216,1
1567,80239,1
1568,1425,1
1568,70949,1
1569,15310,1
1570,1916,1
1571,1480,4
1571,6756,1
1571,55580,3
1571,89769,1
1572,1232,1
1572,1805,2
1572,12081,1
1572,43853,1
1572,64793,1
1572,64794,1
1572,80109,1
1572,80223,1
1573,37542,1
1575,1387,1
1575,43887,4
1576,18672,4
1576,18740,2
1576,18742,5
1576,80255,1
1577,30873,1
1577,85290,1
1578,41925,2
1578,85289,2
1579,41420,20
1579,41427,2
1580,47871,1
1582,53665,1
1582,85308,8
