id,name,lat,lon
17065,Breuil-Magné,45.982,-0.962
17075,Cabariot,45.944,-0.848
17083,Champagne,45.832,-0.909
17091,Charron,46.303,-1.103
17094,Châtelaillon-Plage,46.065,-1.085
17109,Clavette,46.137,-1.022
17127,Courçon,46.235,-0.813
17136,Croix-Chapeau,46.111,-1.015
17142,Dompierre-sur-Mer,46.193,-1.061
17146,Échillais,45.905,-0.964
17153,Esnandes,46.24,-1.102
17158,Ferrières,46.227,-0.863
17161,La Flotte,46.185,-1.314
17166,Forges,46.104,-0.895
17168,Fouras,45.989,-1.08
17185,Le Gua,45.731,-0.955
17186,Le Gué-d'Alleré,46.183,-0.862
17190,L'Houmeau,46.194,-1.188
17193,La Jarne,46.125,-1.075
17194,La Jarrie,46.129,-1.011
17197,Jonzac,45.446,-0.431
17200,Lagord,46.173,-1.172
17203,Landrais,46.068,-0.864
17207,Loix,46.228,-1.43
17218,Marans,46.308,-0.992
17219,Marennes-Hiers-Brouage,45.823,-1.113
17222,Marsilly,46.228,-1.142
17228,Médis,45.64,-0.966
17245,Montroy,46.157,-1.013
17253,Muron,46.038,-0.828
17255,Nancras,45.744,-0.883
17264,Nieul-sur-Mer,46.205,-1.159
17267,Nuaillé-d'Aunis,46.226,-0.933
17274,Périgny,46.153,-1.086
17283,Pons,45.574,-0.562
17284,Pont-l'Abbé-d'Arnoult,45.828,-0.874
17291,Puilboreau,46.181,-1.097
17297,Rivedoux-Plage,46.162,-1.258
17299,Rochefort,45.94,-0.968
17300,La Rochelle,46.142,-1.152
17303,La Ronde,46.317,-0.775
17306,Royan,45.64,-1.046
17308,Saint-Agnant,45.874,-0.957
17315,Saint-Christophe,46.145,-0.947
17322,Saint-Cyr-du-Doret,46.276,-0.811
17338,Saint-Georges-du-Bois,46.14,-0.733
17340,Saint-Pierre-La-Noue,46.06,-0.805
17347,Saint-Jean-d'Angély,45.94,-0.521
17349,Saint-Jean-de-Liversay,46.268,-0.87
17351,Saint-Just-Luzac,45.802,-1.04
